16765450	工程总承包合同	2017年10月12日,公司收到了与PCIHBV签订的该项目《工程总承包合同》,合同金额为59,481,000美元(约合人民币4亿元)	2017/m/N 年/m/N 10/m/N 月/m/N 12/m/N 日/m/N ,/x/N 公司/n/N 收到/v/N 了/ul/N 与/p/N PCIHBV/eng/N 签订/v/N 的/uj/N 该/r/N 项目/n/N 《/x/N 工程/n/Y 总/b/Y 承包合同/n/Y 》/x/N ,/x/N 合同/a/N 金额/n/N 为/p/N 59/m/N ,/x/N 481/m/N ,/x/N 000/m/N 美元/q/N (/x/N 约合/vn/N 人民币/n/N 4/x/N 亿元/m/N )/x/N
16765450	工程总承包合同	伊拉克Garraf油田三期原油井间集输EPCC项目《工程总承包合同》	伊拉克/nrt/N Garraf/eng/N 油田/n/N 三期/t/N 原/n/N 油井/n/N 间/f/N 集输/vn/N EPCC/eng/N 项目/n/N 《/x/N 工程/n/Y 总/b/Y 承包合同/n/Y 》/x/N
1095200	江西有线高清电视和网络双向化改造项目战略合作框架协议	北京捷成世纪科技股份有限公司(以下简称“公司”)分别于2013年8月7日、2013年10月24日发布两份重大合同公告(公告编号:2013-057、2013-075),披露公司与江西省广播电视网络传输有限公司(以下简称“江西广电网络”)签署了《江西有线高清电视和网络双向化改造项目战略合作框架协议》,与广西广播电视信息网络股份有限公司(以下简称“广西广电网络”)签署了《广西有线高清互动数字电视及网络双向化改造项目战略合作框架协议》(以下简称“两份框架协议”)	北京/ns/N 捷成/nz/N 世纪/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 分别/d/N 于/p/N 2013/m/N 年/m/N 8/m/N 月/m/N 7/m/N 日/m/N 、/x/N 2013/m/N 年/m/N 10/m/N 月/m/N 24/m/N 日/m/N 发布/v/N 两份/m/N 重大/a/N 合同/a/N 公告/n/N (/x/N 公告/n/N 编号/n/N :/x/N 2013/m/N -/x/N 057/m/N 、/x/N 2013/m/N -/x/N 075/m/N )/x/N ,/x/N 披露/v/N 公司/n/N 与/p/N 江西省/ns/N 广播电视/nt/N 网络/n/N 传输/vn/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 江西/ns/N 广电/nz/N 网络/n/N ”/x/N )/x/N 签署/v/N 了/ul/N 《/x/N 江西/ns/Y 有线/n/Y 高清/nr/Y 电视/n/Y 和/c/Y 网络/n/Y 双向/n/Y 化/n/Y 改造/v/Y 项目/n/Y 战略/n/Y 合作/vn/Y 框架/n/Y 协议/n/Y 》/x/N ,/x/N 与/p/N 广西/ns/N 广播电视/nt/N 信息网络/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 广西/ns/N 广电/nz/N 网络/n/N ”/x/N )/x/N 签署/v/N 了/ul/N 《/x/N 广西/ns/N 有线/n/N 高清/nr/N 互动/d/N 数字电视/l/N 及/c/N 网络/n/N 双向/n/N 化/n/N 改造/v/N 项目/n/N 战略/n/N 合作/vn/N 框架/n/N 协议/n/N 》/x/N (/x/N 以下/f/N 简称/v/N “/x/N 两份/m/N 框架/n/N 协议/n/N ”/x/N )/x/N
1095200	江西省有线数字电视机顶盒合同	近日,两份框架协议项下的首期项目开始启动实施,公司与江西广电网络签署了《江西省有线数字电视机顶盒合同》,与广西广电网络签署了《互联网出口缓存及优化(一期)项目-互联网内容本地化建设采购合同》,具体情况如下:	近日/t/N ,/x/N 两份/m/N 框架/n/N 协议/n/N 项下/n/N 的/uj/N 首期/t/N 项目/n/N 开始/v/N 启动/vn/N 实施/v/N ,/x/N 公司/n/N 与/p/N 江西/ns/N 广电/nz/N 网络/n/N 签署/v/N 了/ul/N 《/x/N 江西省/ns/Y 有线/n/Y 数字电视/l/Y 机顶盒/n/Y 合同/a/Y 》/x/N ,/x/N 与/p/N 广西/ns/N 广电/nz/N 网络/n/N 签署/v/N 了/ul/N 《/x/N 互联网/n/N 出口/vn/N 缓存/v/N 及/c/N 优化/vn/N (/x/N 一期/d/N )/x/N 项目/n/N -/x/N 互联网内容/n/N 本地化/j/N 建设/vn/N 采购/v/N 合同/a/N 》/x/N ,/x/N 具体情况/l/N 如下/t/N :/x/N
345923	商品房买卖合同	公司控股子公司山东永安房地产开发有限公司(简称“永安房地产”),近期拟分别与阳光人寿保险股份有限公司(简称“阳光人寿”)的全资子公司阳光盛和(济南)投资有限公司(简称“阳光盛和”)、阳光财产保险股份有限公司(简称“阳光财险”)签署商品房买卖合同,出售龙奥天街项目主办公楼部分楼层商品房及停车位,合同金额分别约为4.6亿元、1.66亿元,合同金额总计约为人民币6.26亿元	公司/n/N 控股/v/N 子公司/n/N 山东/ns/N 永安/ns/N 房地产/j/N 开发/v/N 有限公司/n/N (/x/N 简称/v/N “/x/N 永安/ns/N 房地产/j/N ”/x/N )/x/N ,/x/N 近期/t/N 拟/v/N 分别/d/N 与/p/N 阳光/nr/N 人寿保险/n/N 股份/n/N 有限公司/n/N (/x/N 简称/v/N “/x/N 阳光/nr/N 人寿/n/N ”/x/N )/x/N 的/uj/N 全资/n/N 子公司/n/N 阳光/nr/N 盛和/nr/N (/x/N 济南/ns/N )/x/N 投资/vn/N 有限公司/n/N (/x/N 简称/v/N “/x/N 阳光/nr/N 盛和/nr/N ”/x/N )/x/N 、/x/N 阳光/nr/N 财产保险/n/N 股份/n/N 有限公司/n/N (/x/N 简称/v/N “/x/N 阳光/nr/N 财险/n/N ”/x/N )/x/N 签署/v/N 商品房/n/Y 买卖合同/n/Y ,/x/N 出售/vn/N 龙奥/nr/N 天街/ns/N 项目/n/N 主/b/N 办公楼/n/N 部分/n/N 楼层/n/N 商品房/n/N 及/c/N 停车位/n/N ,/x/N 合同/a/N 金额/n/N 分别/d/N 约/d/N 为/p/N 4.6/m/N 亿元/m/N 、/x/N 1.66/m/N 亿元/m/N ,/x/N 合同/a/N 金额/n/N 总计/n/N 约/d/N 为/p/N 人民币/n/N 6.26/m/N 亿元/m/N
345923	商品房买卖合同	交易方式初步设定为,永安房地产分别与阳光盛和、阳光财险签署商品房买卖合同;阳光盛和将购买的龙奥天街项目商品房委托给第三方代为经营,获取委托管理经营收益;委托经营管理期届满或终止之日起,由第三方收购阳光盛和100%股权;公司以部分资产或持有的子公司股权,为委托管理经营收益及第三方收购阳光盛和股权等事宜提供担保	交易方式/n/N 初步/d/N 设定/v/N 为/p/N ,/x/N 永安/ns/N 房地产/j/N 分别/d/N 与/p/N 阳光/nr/N 盛和/nr/N 、/x/N 阳光/nr/N 财险/n/N 签署/v/N 商品房/n/Y 买卖合同/n/Y ;/x/N 阳光/nr/N 盛/v/N 和/c/N 将/d/N 购买/v/N 的/uj/N 龙/n/N 奥/j/N 天街/ns/N 项目/n/N 商品房/n/N 委托/n/N 给/p/N 第三方/m/N 代为/v/N 经营/vn/N ,/x/N 获取/v/N 委托/n/N 管理/vn/N 经营/vn/N 收益/n/N ;/x/N 委托/n/N 经营/vn/N 管理/vn/N 期/n/N 届满/v/N 或/c/N 终止/v/N 之日起/ns/N ,/x/N 由/p/N 第三方/m/N 收购/v/N 阳光/nr/N 盛和/nr/N 100/m/N %/x/N 股权/n/N ;/x/N 公司/n/N 以/p/N 部分/n/N 资产/n/N 或/c/N 持有/v/N 的/uj/N 子公司/n/N 股权/n/N ,/x/N 为/p/N 委托/n/N 管理/vn/N 经营/vn/N 收益/n/N 及/c/N 第三方/m/N 收购/v/N 阳光/nr/N 盛和/nr/N 股权/n/N 等/u/N 事宜/n/N 提供/v/N 担保/v/N
33310	永兴县工业固体废物污染环境修复技术示范项目承包合同	2012年1月10日,本公司控股子公司湖南永清环境修复有限公司(原名“湖南永清盛世环保有限公司”,以下简称“永清修复”或“乙方”)与永兴县环境保护局(以下简称“甲方”)签订了《永兴县工业固体废物污染环境修复技术示范项目承包合同》(以下简称“《承包合同》”)	2012/m/N 年/m/N 1/m/N 月/m/N 10/m/N 日/m/N ,/x/N 本/r/N 公司/n/N 控股/v/N 子公司/n/N 湖南/ns/N 永清/nr/N 环境/n/N 修复/v/N 有限公司/n/N (/x/N 原名/n/N “/x/N 湖南/ns/N 永清/nr/N 盛世/nr/N 环保/j/N 有限公司/n/N ”/x/N ,/x/N 以下/f/N 简称/v/N “/x/N 永清/nr/N 修复/v/N ”/x/N 或/c/N “/x/N 乙方/n/N ”/x/N )/x/N 与/p/N 永兴县/ns/N 环境保护局/n/N (/x/N 以下/f/N 简称/v/N “/x/N 甲方/n/N ”/x/N )/x/N 签订/v/N 了/ul/N 《/x/N 永兴县/ns/Y 工业/n/Y 固体废物/l/Y 污染环境/n/Y 修复/v/Y 技术/n/Y 示范/v/Y 项目/n/Y 承包合同/n/Y 》/x/N (/x/N 以下/f/N 简称/v/N “/x/N 《/x/N 承包合同/n/N 》/x/N ”/x/N )/x/N
8824640	东亚电力(无锡)燃机发电项目机岛主机设备及其配套辅助系统供货及相关服务合同	近日,华电重工股份有限公司(以下简称“公司”)与东亚电力(无锡)有限公司签署了《东亚电力(无锡)燃机发电项目机岛主机设备及其配套辅助系统供货及相关服务合同》,合同金额78,140万元,占公司2015年度经审计营业收入的比例为15.2%	近日/t/N ,/x/N 华电/nz/N 重工/vn/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 与/p/N 东亚/ns/N 电力/n/N (/x/N 无锡/ns/N )/x/N 有限公司/n/N 签署/v/N 了/ul/N 《/x/N 东亚/ns/Y 电力/n/Y (/x/Y 无锡/ns/Y )/x/Y 燃机/n/Y 发电/vn/Y 项目/n/Y 机/n/Y 岛主/n/Y 机设备/n/Y 及其/c/Y 配套/a/Y 辅助/vn/Y 系统/n/Y 供货/n/Y 及/c/Y 相关/v/Y 服务/vn/Y 合同/a/Y 》/x/N ,/x/N 合同/a/N 金额/n/N 78/m/N ,/x/N 140/m/N 万元/m/N ,/x/N 占/v/N 公司/n/N 2015/m/N 年度/n/N 经/n/N 审计/v/N 营业/n/N 收入/v/N 的/uj/N 比例/n/N 为/p/N 15.2/m/N %/x/N
15856356	雅安智慧公共安全系统政府与社会资本合作采购项目合同	2017年3月24日,公司指定全资子公司四川浩特通信有限公司(以下简称“乙方”或“项目公司”)作为项目公司,与雅安市公安局、雅安市经济和信息化委员会签订了《雅安智慧公共安全系统政府与社会资本合作采购项目合同》,合同金额为人民币449,890,878元,现将合同的主要情况公告如下:	2017/m/N 年/m/N 3/m/N 月/m/N 24/m/N 日/m/N ,/x/N 公司/n/N 指定/v/N 全资/n/N 子公司/n/N 四川/ns/N 浩特/a/N 通信/j/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 乙方/n/N ”/x/N 或/c/N “/x/N 项目/n/N 公司/n/N ”/x/N )/x/N 作为/v/N 项目/n/N 公司/n/N ,/x/N 与/p/N 雅安市/ns/N 公安局/nt/N 、/x/N 雅安市/ns/N 经济/n/N 和/c/N 信息化/n/N 委员会/n/N 签订/v/N 了/ul/N 《/x/N 雅安/ns/Y 智慧/nr/Y 公共安全/nr/Y 系统/n/Y 政府/n/Y 与/p/Y 社会/n/Y 资本/n/Y 合作/vn/Y 采购/v/Y 项目/n/Y 合同/a/Y 》/x/N ,/x/N 合同/a/N 金额/n/N 为/p/N 人民币/n/N 449/m/N ,/x/N 890/m/N ,/x/N 878/m/N 元/m/N ,/x/N 现/tg/N 将/d/N 合同/a/N 的/uj/N 主要/b/N 情况/n/N 公告/n/N 如下/t/N :/x/N
15856356	雅安智慧公共安全系统政府与社会资本合作采购项目合同	1、《雅安智慧公共安全系统政府与社会资本合作采购项目合同》特此公告	1/x/N 、/x/N 《/x/N 雅安/ns/Y 智慧/nr/Y 公共安全/nr/Y 系统/n/Y 政府/n/Y 与/p/Y 社会/n/Y 资本/n/Y 合作/vn/Y 采购/v/Y 项目/n/Y 合同/a/Y 》/x/N 特此/d/N 公告/n/N
